,dataset,model_fullname,model,pretrained,acc1,acc5,IN-score,z-gap-text-f1,z-gap-text-acc1,z-gap-intraclass_sim,z-gap-inter_close,z-gap-intra_close,text-f1,text-acc1,intraclass_sim,inter_close,intra_close,superclass_metric
0,cars,RN50 openai,RN50,openai,0.5424698420594454,0.8863325457032707,0.59836,0.9410489518837919,0.9479538728441678,660.6089477539062,13.4773530960083,9.359415054321289,0.6236306352551739,0.6345545463822839,0.8909046053886414,0.786005973815918,0.6909164190292358,0.6237473487854004
1,cifar100,RN50 openai,RN50,openai,0.4196,0.7372,0.59836,0.843987157781917,0.8618065291407971,357.12591552734375,7.376202583312988,1.6022354364395142,0.45916299700282126,0.4788704185860204,0.8474238514900208,0.7223919034004211,0.6145864725112915,0.7818832397460938
2,clevr_closest_object_distance,RN50 openai,RN50,openai,0.2466666666666666,0.9054666666666666,0.59836,0.37213423694923836,0.39,700.2335815429688,-0.9804105162620544,-0.9401453137397766,0.20738610569850968,0.21,0.9781761169433594,0.5744152665138245,0.5788045525550842,0.8125739693641663
3,clevr_count_all,RN50 openai,RN50,openai,0.1905333333333333,0.7767333333333334,0.59836,0.17664675509081912,0.21,742.699951171875,-4.436077117919922,-3.9639945030212402,0.22780604350407552,0.23,0.9652916193008423,0.5384894013404846,0.5355318188667297,0.7434511184692383
4,country211,RN50 openai,RN50,openai,0.1540758293838862,0.3714691943127962,0.59836,0.7602731380736406,0.7749763033175355,455.1136779785156,6.683654308319092,3.801635980606079,0.3040681925321691,0.3309004739336493,0.9071281552314758,0.6670934557914734,0.6056432723999023,0.7403885722160339
5,diabetic_retinopathy,RN50 openai,RN50,openai,0.165362081087415,1.0,0.59836,0.6525670842879715,0.652,705.5601806640625,1.7374608516693115,0.5250592231750488,0.3170261994768696,0.332,0.9886913299560547,0.8641656041145325,0.8596242666244507,0.7475201487541199
6,dmlab,RN50 openai,RN50,openai,0.1551352540136353,0.8123158126237079,0.59836,0.4697939647408948,0.47,1018.1295166015625,1.143693208694458,0.7385656237602234,0.32862750799951557,0.35,0.9542350769042969,0.7361059784889221,0.7316970229148865,0.7921673655509949
7,dtd,RN50 openai,RN50,openai,0.4122340425531915,0.7382978723404255,0.59836,0.67112301239992,0.7042553191489361,295.8448181152344,3.0541865825653076,0.01659141667187214,0.25151353229721995,0.2693617021276596,0.9031485319137573,0.7179670929908752,0.6770455241203308,0.7972779870033264
8,eurosat,RN50 openai,RN50,openai,0.4077777777777778,0.9264814814814816,0.59836,0.9440017230731221,0.944,720.2166137695312,1.9576705694198608,-1.3616118431091309,0.4301512420913487,0.434,0.9128284454345703,0.7011409997940063,0.6571961045265198,0.5894213914871216
9,fer2013,RN50 openai,RN50,openai,0.2495384722560869,0.7819499111776794,0.59836,0.9106581412216028,0.9085714285714286,347.6981201171875,1.5519119501113892,-0.914469838142395,0.4448224689794263,0.44571428571428573,0.9407119750976562,0.8225559592247009,0.796284019947052,0.8452838063240051
